cuda: True
Files already downloaded and verified
Files already downloaded and verified
2000
/home/ec2-user/anaconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py
Epoch 0 Train Loss: 711.0006169080734
Epoch: 0 True Loss: 941.9947493076324
Epoch: 0 Val Acc: 0.1015
Epoch 1 Train Loss: 775.6920191049576
Epoch: 1 True Loss: 935.1177430152893
Epoch: 1 Val Acc: 0.1325
Epoch 2 Train Loss: 765.7916189432144
Epoch: 2 True Loss: 920.734406709671
Epoch: 2 Val Acc: 0.1455
Epoch 3 Train Loss: 760.7730827331543
Epoch: 3 True Loss: 928.8047430515289
Epoch: 3 Val Acc: 0.147
Epoch 4 Train Loss: 730.6934217214584
Epoch: 4 True Loss: 840.3548121452332
Epoch: 4 Val Acc: 0.253
Epoch 5 Train Loss: 670.1706105470657
Epoch: 5 True Loss: 839.98985683918
Epoch: 5 Val Acc: 0.2375
Epoch 6 Train Loss: 663.1953499317169
Epoch: 6 True Loss: 830.4020246267319
Epoch: 6 Val Acc: 0.2525
Epoch 7 Train Loss: 655.9494068622589
Epoch: 7 True Loss: 824.4461852312088
Epoch: 7 Val Acc: 0.275
Epoch 8 Train Loss: 651.5268321037292
Epoch: 8 True Loss: 792.9233493804932
Epoch: 8 Val Acc: 0.301
Epoch 9 Train Loss: 649.356362581253
Epoch: 9 True Loss: 795.3258585929871
Epoch: 9 Val Acc: 0.2985
Epoch 10 Train Loss: 644.9843760728836
Epoch: 10 True Loss: 786.166726231575
Epoch: 10 Val Acc: 0.2975
Epoch 11 Train Loss: 642.9590791463852
Epoch: 11 True Loss: 786.9351587295532
Epoch: 11 Val Acc: 0.296
Epoch 12 Train Loss: 637.3281773328781
Epoch: 12 True Loss: 799.090670466423
Epoch: 12 Val Acc: 0.3035
Epoch 13 Train Loss: 632.9372218847275
Epoch: 13 True Loss: 809.8288799524307
Epoch: 13 Val Acc: 0.294
Epoch 14 Train Loss: 631.1768440008163
Epoch: 14 True Loss: 770.168063044548
Epoch: 14 Val Acc: 0.3125
Epoch 15 Train Loss: 627.9936878681183
Epoch: 15 True Loss: 751.9096647500992
Epoch: 15 Val Acc: 0.341
Epoch 16 Train Loss: 624.7389011383057
Epoch: 16 True Loss: 747.7602578401566
Epoch: 16 Val Acc: 0.327
Epoch 17 Train Loss: 622.3119710683823
Epoch: 17 True Loss: 736.1787390708923
Epoch: 17 Val Acc: 0.332
Epoch 18 Train Loss: 620.5914103984833
Epoch: 18 True Loss: 743.72196829319
Epoch: 18 Val Acc: 0.3435
Epoch 19 Train Loss: 617.2661265134811
Epoch: 19 True Loss: 747.1585940122604
Epoch: 19 Val Acc: 0.338
Epoch 20 Train Loss: 617.7803004980087
Epoch: 20 True Loss: 741.5573145151138
Epoch: 20 Val Acc: 0.348
Epoch 21 Train Loss: 613.7936252355576
Epoch: 21 True Loss: 760.3935310840607
Epoch: 21 Val Acc: 0.3275
Epoch 22 Train Loss: 613.0351285934448
Epoch: 22 True Loss: 731.600250005722
Epoch: 22 Val Acc: 0.3505
Epoch 23 Train Loss: 609.7952787876129
Epoch: 23 True Loss: 724.2757921218872
Epoch: 23 Val Acc: 0.339
Epoch 24 Train Loss: 607.1575413942337
Epoch: 24 True Loss: 748.1669508218765
Epoch: 24 Val Acc: 0.339
Epoch 25 Train Loss: 605.9271016120911
Epoch: 25 True Loss: 725.6265419721603
Epoch: 25 Val Acc: 0.3535
Epoch 26 Train Loss: 601.9288445711136
Epoch: 26 True Loss: 713.3493896722794
Epoch: 26 Val Acc: 0.3555
Epoch 27 Train Loss: 602.3340715169907
Epoch: 27 True Loss: 730.5080591440201
Epoch: 27 Val Acc: 0.3455
Epoch 28 Train Loss: 599.6663485765457
Epoch: 28 True Loss: 714.2211513519287
Epoch: 28 Val Acc: 0.3535
Epoch 29 Train Loss: 597.0355589389801
Epoch: 29 True Loss: 714.8735208511353
Epoch: 29 Val Acc: 0.368
Epoch 30 Train Loss: 594.2504717111588
Epoch: 30 True Loss: 712.7572855949402
Epoch: 30 Val Acc: 0.3685
Epoch 31 Train Loss: 591.6280016899109
Epoch: 31 True Loss: 720.4426330327988
Epoch: 31 Val Acc: 0.356
Epoch 32 Train Loss: 590.9550156593323
Epoch: 32 True Loss: 684.4333044290543
Epoch: 32 Val Acc: 0.383
Epoch 33 Train Loss: 589.9820914268494
Epoch: 33 True Loss: 704.2887947559357
Epoch: 33 Val Acc: 0.3645
Epoch 34 Train Loss: 588.8742566108704
Epoch: 34 True Loss: 700.5307335853577
Epoch: 34 Val Acc: 0.3635
Epoch 35 Train Loss: 586.5841542482376
Epoch: 35 True Loss: 700.0155320167542
Epoch: 35 Val Acc: 0.365
Epoch 36 Train Loss: 584.4159833192825
Epoch: 36 True Loss: 693.2430557012558
Epoch: 36 Val Acc: 0.372
Epoch 37 Train Loss: 582.5199369192123
Epoch: 37 True Loss: 700.5892913341522
Epoch: 37 Val Acc: 0.3695
Epoch 38 Train Loss: 581.4797211885452
Epoch: 38 True Loss: 682.3132072687149
Epoch: 38 Val Acc: 0.3815
Epoch 39 Train Loss: 579.7911618947983
Epoch: 39 True Loss: 704.4837065935135
Epoch: 39 Val Acc: 0.3755
Epoch 40 Train Loss: 579.3503651618958
Epoch: 40 True Loss: 680.7211295366287
Epoch: 40 Val Acc: 0.39
Epoch 41 Train Loss: 577.2508330345154
Epoch: 41 True Loss: 679.2045555114746
Epoch: 41 Val Acc: 0.386
Epoch 42 Train Loss: 578.0050513744354
Epoch: 42 True Loss: 680.0367215871811
Epoch: 42 Val Acc: 0.393
Epoch 43 Train Loss: 574.3609572649002
Epoch: 43 True Loss: 676.8019263744354
Epoch: 43 Val Acc: 0.3865
Epoch 44 Train Loss: 571.2717032432556
Epoch: 44 True Loss: 678.3909239768982
Epoch: 44 Val Acc: 0.398
Epoch 45 Train Loss: 573.509983420372
Epoch: 45 True Loss: 667.3471403121948
Epoch: 45 Val Acc: 0.4055
Epoch 46 Train Loss: 569.3170275688171
Epoch: 46 True Loss: 678.4964683055878
Epoch: 46 Val Acc: 0.393
Epoch 47 Train Loss: 569.5770260095596
Epoch: 47 True Loss: 683.5859102010727
Epoch: 47 Val Acc: 0.386
Epoch 48 Train Loss: 566.9596563577652
Epoch: 48 True Loss: 667.0649127960205
Epoch: 48 Val Acc: 0.392
Epoch 49 Train Loss: 564.2925436496735
Epoch: 49 True Loss: 659.938446521759
Epoch: 49 Val Acc: 0.4005
Epoch 50 Train Loss: 562.7485467195511
Epoch: 50 True Loss: 664.1848034858704
Epoch: 50 Val Acc: 0.398
Epoch 51 Train Loss: 563.5286387205124
Epoch: 51 True Loss: 668.2969709634781
Epoch: 51 Val Acc: 0.394
Epoch 52 Train Loss: 559.0015267133713
Epoch: 52 True Loss: 662.4416035413742
Epoch: 52 Val Acc: 0.41
Epoch 53 Train Loss: 560.7978984117508
Epoch: 53 True Loss: 660.8651441335678
Epoch: 53 Val Acc: 0.4005
Epoch 54 Train Loss: 558.4097225666046
Epoch: 54 True Loss: 653.3348529338837
Epoch: 54 Val Acc: 0.406
Epoch 55 Train Loss: 558.0629692077637
Epoch: 55 True Loss: 668.4825731515884
Epoch: 55 Val Acc: 0.3745
Epoch 56 Train Loss: 554.9930596351624
Epoch: 56 True Loss: 665.9815338850021
Epoch: 56 Val Acc: 0.397
Epoch 57 Train Loss: 554.1851985454559
Epoch: 57 True Loss: 643.6357160806656
Epoch: 57 Val Acc: 0.408
Epoch 58 Train Loss: 552.3149198293686
Epoch: 58 True Loss: 643.6653144359589
Epoch: 58 Val Acc: 0.405
Epoch 59 Train Loss: 552.0386153459549
Epoch: 59 True Loss: 655.8525688648224
Epoch: 59 Val Acc: 0.4065
Epoch 60 Train Loss: 550.4098819494247
Epoch: 60 True Loss: 654.8124911785126
Epoch: 60 Val Acc: 0.4095
Epoch 61 Train Loss: 548.4647554159164
Epoch: 61 True Loss: 636.3887728452682
Epoch: 61 Val Acc: 0.413
Epoch 62 Train Loss: 548.9210442304611
Epoch: 62 True Loss: 642.6526206731796
Epoch: 62 Val Acc: 0.4005
Epoch 63 Train Loss: 546.8052182197571
Epoch: 63 True Loss: 645.7009106874466
Epoch: 63 Val Acc: 0.4015
Epoch 64 Train Loss: 546.1118679046631
Epoch: 64 True Loss: 643.9109436273575
Epoch: 64 Val Acc: 0.4005
Epoch 65 Train Loss: 542.4646170139313
Epoch: 65 True Loss: 637.4565145969391
Epoch: 65 Val Acc: 0.4085
Epoch 66 Train Loss: 542.1225837469101
Epoch: 66 True Loss: 636.3384830951691
Epoch: 66 Val Acc: 0.4085
Epoch 67 Train Loss: 540.7544440031052
Epoch: 67 True Loss: 626.190801024437
Epoch: 67 Val Acc: 0.4135
Epoch 68 Train Loss: 539.8299287557602
Epoch: 68 True Loss: 631.1585717201233
Epoch: 68 Val Acc: 0.4145
Epoch 69 Train Loss: 538.5241770744324
Epoch: 69 True Loss: 631.865246295929
Epoch: 69 Val Acc: 0.41
Epoch 70 Train Loss: 537.3112238645554
Epoch: 70 True Loss: 630.1279129981995
Epoch: 70 Val Acc: 0.4125
Epoch 71 Train Loss: 535.3710163831711
Epoch: 71 True Loss: 620.1279776096344
Epoch: 71 Val Acc: 0.4145
Epoch 72 Train Loss: 535.2881910800934
Epoch: 72 True Loss: 626.9911398887634
Epoch: 72 Val Acc: 0.417
Epoch 73 Train Loss: 534.8909115791321
Epoch: 73 True Loss: 626.3708355426788
Epoch: 73 Val Acc: 0.4145
Epoch 74 Train Loss: 532.2516008615494
Epoch: 74 True Loss: 622.471442937851
Epoch: 74 Val Acc: 0.4155
Epoch 75 Train Loss: 530.681294798851
Epoch: 75 True Loss: 621.2569776773453
Epoch: 75 Val Acc: 0.4055
Epoch 76 Train Loss: 529.1398456096649
Epoch: 76 True Loss: 618.4966462850571
Epoch: 76 Val Acc: 0.419
Epoch 77 Train Loss: 528.6221981048584
Epoch: 77 True Loss: 625.3502255678177
Epoch: 77 Val Acc: 0.4125
Epoch 78 Train Loss: 527.6466617584229
Epoch: 78 True Loss: 606.6261737346649
Epoch: 78 Val Acc: 0.4245
Epoch 79 Train Loss: 526.8946117162704
Epoch: 79 True Loss: 611.5380413532257
Epoch: 79 Val Acc: 0.4285
Epoch 80 Train Loss: 524.3503646850586
Epoch: 80 True Loss: 619.0734112262726
Epoch: 80 Val Acc: 0.4145
Epoch 81 Train Loss: 525.6020754575729
Epoch: 81 True Loss: 615.0292251110077
Epoch: 81 Val Acc: 0.421
Epoch 82 Train Loss: 522.9492027759552
Epoch: 82 True Loss: 613.0243096351624
Epoch: 82 Val Acc: 0.4255
Epoch 83 Train Loss: 522.8530166149139
Epoch: 83 True Loss: 616.6429527997971
Epoch: 83 Val Acc: 0.414
Epoch 84 Train Loss: 520.4290043115616
Epoch: 84 True Loss: 613.3486306667328
Epoch: 84 Val Acc: 0.4155
Epoch 85 Train Loss: 521.6742115020752
Epoch: 85 True Loss: 598.7454607486725
Epoch: 85 Val Acc: 0.419
Epoch 86 Train Loss: 518.8537849187851
Epoch: 86 True Loss: 601.9110426902771
Epoch: 86 Val Acc: 0.427
